                                            List of databases
           Name           |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
 template1                | postgres      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | postgres=CTc/postgres+
                          |               |          |             |             | =c/postgres
 test                     | elee31        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 test_01                  | jsalem        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 test_01_robknights       | rknights      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 test_jlegresl            | jlegresl      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 test_mhay23              | mhay23        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 test_sb                  | sbrunnin      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 test_sbrunnin            | sbrunnin      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 testdb_jmolon21          | jmolon21      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 tester                   | mtrippe       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 testrjames8              | rjames8       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 theory_assign_1_ldayes   | ldayes        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 trac                     | lovepre2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 video_store_mmalady      | mmalady       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 zabbix_agent             | zabbix_agent  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
(193 rows)

