                                                 List of databases
                Name                 |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
 dyork_test_p1                       | dyork2        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 eboyd5_PA1                          | eboyd5        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 eboyd5_apps_prac_4                  | eboyd5_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ed_pracass1                         | edupless      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ed_test                             | edupless      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 eddie_a4                            | esadgro2_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 eddie_test1                         | esadgro2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 edupless_prac_2                     | edupless_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 elamptey_p1                         | elamptey      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 elamptey_p3                         | elamptey      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 elamptey_pa1                        | elamptey      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 elee31_apps_p2                      | elee31_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 emanufacturing                      | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 emilytsang_assignment01             | etsang2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 emilytsang_assignment1              | etsang2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 emilytsang_l4                       | etsang2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 emilytsang_prac01                   | etsang2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 emilytsang_prac0101                 | etsang2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 emmadu                              | edupless      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 etsang2                             | etsang2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 etsang2_apps_a3                     | etsang2_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 etsang2_apps_prac_4                 | etsang2_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 etsang2_cosc210_prac01              | etsang2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ex3                                 | pbaral3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
